product_title,average_rating,total_reviews,review_author,review_rating,review_date,review_text
Apple AirPods with Charging Case (Wired),4.8,26820,GoldenGirl,1,8-Apr-21,"My purchase was Aug 2020. About 3 months ago, they started not producing sound out of both pods... then they worked for awhile. Now, I have been only getting sound out of one pod and then the next time I use them, it might be the other side. This has been going on for about 3 months. Yesterday the connection was horrible, staticy and i switched to regular wire earbuds. I purchased a knock of these for $29.95 several years ago and they lasted just about as long as this $129 set. I would NOT purchase Apple brand again for lack of how long they have lasted. VERY disappointed."
Apple AirPods with Charging Case (Wired),4.8,26820,Anthony,5,11-May-21,Great Who don’t like Apple. Their products are awesome
Apple AirPods with Charging Case (Wired),4.8,26820,TeamMEdina,5,6-May-21,Worth every penny.
Apple AirPods with Charging Case (Wired),4.8,26820,Euchena H.,1,12-May-21,Mine came with ear wax in it. Ewwwwww.
Apple AirPods with Charging Case (Wired),4.8,26820,Candy B.,5,22-Apr-21,Really durable. Good quality.
Apple AirPods with Charging Case (Wired),4.8,26820,Willianna H.,5,12-Apr-21,So far so good
Apple AirPods with Charging Case (Wired),4.8,26820,matthew,5,28-May-21,Came as described. Love it
Apple AirPods with Charging Case (Wired),4.8,26820,Bailee Allred,5,12-Apr-21,Love them!!! I use them all the time. Definitely worth buying.
Apple AirPods with Charging Case (Wired),4.8,26820,✅✅✅,5,2-Jun-21,They are awesome! The is barley any noise Cancellation but they still work really well.
Apple AirPods with Charging Case (Wired),4.8,26820,Cody Secker,1,11-May-21,I had them for about 2 months and the right ear pod went out. Second time it’s happened.
Apple AirPods with Charging Case (Wired),4.8,26820,Vanessa,5,8-Apr-21,luv them
Apple AirPods with Charging Case (Wired),4.8,26820,Tom,5,8-May-21,"It makes it so easy for exercise. I was concerned and worried it will fell out during exercising, but I was able to run six miles without any problem. Highly recommend!!!"
Apple AirPods with Charging Case (Wired),4.8,26820,Unhappy,5,2-Jun-21,❤️
Apple AirPods with Charging Case (Wired),4.8,26820,Isabel Romero,3,12-May-21,They work great when they want to. Unfortunately I have to go to the apple store and see if they can fix them because the right ear piece does not want to charge and listening to music only in 1 ear is no fun :(
Apple AirPods with Charging Case (Wired),4.8,26820,Royalty Porter,4,18-Apr-21,I really only use them at work and the gym. They are great for both.
Apple AirPods with Charging Case (Wired),4.8,26820,Jennifer Myers,5,9-Apr-21,Great product. Good sound quality.
Apple AirPods with Charging Case (Wired),4.8,26820,Ren,2,26-Apr-21,Had for a few months now and one ear bud has completely lost sound.
Apple AirPods with Charging Case (Wired),4.8,26820,Arran Dolan,5,14-Apr-21,"Love the ease of use. They never fall out. Good sound quality. Too bad they only hold a 5 hr charge,but recharge quickly in the hub."
Apple AirPods with Charging Case (Wired),4.8,26820,Jose Ramirez,1,6-May-21,"This is the second pair of airpods I bought from this vendor. I had to return the first because they randomly stopped working and when I got the second pair the didn't even last 2 weeks before I was having issues. I returned them and asked for a refund, it's been 3 weeks and still no word on my refund, be careful people, go to a better vendor"
Apple AirPods with Charging Case (Wired),4.8,26820,Giovanna linares roca,5,19-May-21,This is awesome comes in its box
Apple AirPods with Charging Case (Wired),4.8,26820,Jasmine valdez,5,1-Jun-21,"I love them, absolutely nothing wrong with them !!"
Apple AirPods with Charging Case (Wired),4.8,26820,Ansel Hendrickson,5,27-May-21,"Apple era pods, high quality and performance."
Apple AirPods with Charging Case (Wired),4.8,26820,Eliangel Del Valle Salazar,5,21-May-21,Buenísimo
Apple AirPods with Charging Case (Wired),4.8,26820,Derrick b.,5,1-May-21,5 stars
Apple AirPods with Charging Case (Wired),4.8,26820,P. Reyes,5,25-May-21,I've had a good experience with the 1st generation and the second. I bought the Pro's but to small and every time I would answer a call with them they would fall out of my ear. I had to return and buy these. I've also had JBL's but the AirPods are still best use for me. Highly recommend.
Apple AirPods with Charging Case (Wired),4.8,26820,James Dye,5,22-Apr-21,Given to my wife.
Apple AirPods with Charging Case (Wired),4.8,26820,RB,5,7-Apr-21,Pretty cool and funky. Apple doesnt disappoint..
Apple AirPods with Charging Case (Wired),4.8,26820,Leeleemodee,2,23-Apr-21,"Waste of my money. I heard rave reviews about air pods but rarely do they connect or work. Most of the time I’m fighting to get them to play music without cutting in and out. I have an iPhone 10 and even under wifi, the sound is quality is not normally good and usually cutting in and out."
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,2,8-Apr-21,"I’m lukewarm on the sound quality; I’ve heard a lot worse, but I’ve also heard a lot better for a fraction of a fraction of the price. The mids and highs are great, but the muddy bass ruins a lot of different kinds of music. The reason I’m so displeased is that the right one went quiet in six months with regular use. I would expect that from a $15 or under earbud, but not one that was $120 on sale. Yes, the wireless of it all is outstanding, but this technology needs to be perfected before I (or anyone reasonable) can say this is worth the price."
Apple AirPods with Charging Case (Wired),4.8,26820,Carlos C,5,23-Apr-21,"I love these AirPods I mean they work like magic and I can’t use my phone without them they just enhance everything. Since I watch lots of movies they really give you a totally different experience. And they also last a lot longer than the wired headphones. They are genuine and that was the only thing keeping me from ordering them but I ordered them anyway and they are genuine and amazing, thank you Amazon for providing amazing products for a good price."
Apple AirPods with Charging Case (Wired),4.8,26820,Carmen Iris,5,28-May-21,Muy buena calidad
Apple AirPods with Charging Case (Wired),4.8,26820,Sierra G,5,9-May-21,Loved it
Apple AirPods with Charging Case (Wired),4.8,26820,Jim@sunval,5,8-Apr-21,"Quick, accurate delivery, as promised."
Apple AirPods with Charging Case (Wired),4.8,26820,April Plummer,5,10-Apr-21,I like them
Apple AirPods with Charging Case (Wired),4.8,26820,Monica Carrington,5,24-Apr-21,I love my AirPods they go everywhere I go.
Apple AirPods with Charging Case (Wired),4.8,26820,Samantha S.,5,20-Apr-21,I love them!
Apple AirPods with Charging Case (Wired),4.8,26820,Rachel Munsey,2,22-Apr-21,"After only a year the sound is horrible and the AirPods constantly cut out and skip parts of songs. I do/have taken very good care of them. Kept them clean, charged appropriately, and they’re starting to crap out. I guess they’re not meant to last this long?"
Apple AirPods with Charging Case (Wired),4.8,26820,Amy,5,26-Apr-21,very nice
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,1,18-May-21,"The are fake after 1 months using them, they don’t recognize the charger, I can’t charge them! Don’t waste your money!"
Apple AirPods with Charging Case (Wired),4.8,26820,Herbert O'Conner,5,19-Apr-21,Work fine
Apple AirPods with Charging Case (Wired),4.8,26820,Moriah,5,24-Apr-21,I bought these around a year ago and they lasted me quite a while until my baby brother lost one 😂. The only thing is that they got scuffed up easily. Other than that they were great!!
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,1,18-May-21,I had to return these. They were very “glitchy”. Sound would come in and out. Really disappointing
Apple AirPods with Charging Case (Wired),4.8,26820,BMR,5,13-May-21,No issues at all
Apple AirPods with Charging Case (Wired),4.8,26820,ALI A.,5,6-May-21,It is genuine Apple AirPod. It’s a high quality Bluetooth headset. I thought it may fall off my ear but they don’t.
Apple AirPods with Charging Case (Wired),4.8,26820,Lovely,5,1-May-21,"Works great and very clear, quick charging"
Apple AirPods with Charging Case (Wired),4.8,26820,Sierra Ranger,5,7-May-21,"I had a pair of SENSO Bluetooth headphones and they had served me well and after a couple of years I wanted to go wireless, since the wire between each earpiece was bothersome, but I didn’t want to spend a lot for the gym and was worried about the fit with Apples AirPods. The price drop on the Apple AirPods was too good to pass up and I upgraded. My concern about the fit and them not fitting and possible falling out while exercising and out for a run we’re quickly dismissed. They fit very good, stay in place deliver excellent sound and the battery life is excellent also. The charge quickly and I went with the wired charging since I still use the Apple lightning cord on my phone and would use that charger. These were a great trade up and I am very p,eased with the Apple AirPods. The AirPods themselves offer many features including Siri, and other options but too much to write up, if your interested read the “about this item” notes in Amazon’s page."
Apple AirPods with Charging Case (Wired),4.8,26820,Yevgeniy Kaziyev,1,19-Apr-21,After a while the mics stoped working properly. Can’t use it now for calls. Disappointing.
Apple AirPods with Charging Case (Wired),4.8,26820,jolie,5,20-Apr-21,"Long battery life, great sound!"
Apple AirPods with Charging Case (Wired),4.8,26820,Aline,5,30-Apr-21,"It was what I needed to work out, working wirelessly holding me back"
Apple AirPods with Charging Case (Wired),4.8,26820,Jordan L.,5,29-Apr-21,"AirPods are a must have. Great sound quality, hold a charge well, and free up you hands while you talk on the phone ."
Apple AirPods with Charging Case (Wired),4.8,26820,KristiBoops,5,28-Apr-21,When u get a great deal and ur kids think ur amazing!! That's how this purchase translated once I gave it to my daughter for her birthday. Cool mom status in a budget. Win-win
Apple AirPods with Charging Case (Wired),4.8,26820,Shaquetta Bradley,5,12-May-21,I love them
Apple AirPods with Charging Case (Wired),4.8,26820,Ronald A.,5,16-May-21,these AirPods are great I got them for 128$ instead of 159$ good quality and packing.
Apple AirPods with Charging Case (Wired),4.8,26820,Mason F.,3,28-Apr-21,"As most Apple products are, these work pretty well. I know this isn't the case for everyone, but these fit in my ears perfectly and comfortably. I can wear them for hours at a time without noticing them. I've been using these with an Android phone with some interesting results. Things I love about them: - How quickly they connect. These things connect almost immediately once you open the lid for the case! - You can use either one on their own if you want, it doesn't matter which - The call quality is fantastic! I love taking calls on these things! - The range is pretty great. I can set my phone down and walk around nearby rooms most of the time without any issue. Things I don't love: - The audio quality is alright. It's about the same as the wired EarPods. Not bad, but nothing amazing. - It's too easy to hear what's going on around me. They have no noise cancellation whatsoever. I could literally carry on full conversations with people while listening to these if I wanted. - Connectivity issues. The range is usually good, but sometimes the connectivity is awful. I can walk around with my phone in my pocket and put my hand over my phone, and these will skip in and out. Sometimes they'll even get out of sync a little bit. This has happened extensively. I made a warranty claim on them and Apple said they couldn't find any problems so they sent them back, and I still have those issues. I also wonder how much this has to do with my phone though, because my phone (Samsung Galaxy S9) Bluetooth doesn't seem the strongest sometimes. If you have an iPhone, I'd recommend giving them a go. But I think there are definitely better deals out there."
Apple AirPods with Charging Case (Wired),4.8,26820,Mohanie Gocool,1,11-May-21,Sound is super low
Apple AirPods with Charging Case (Wired),4.8,26820,nimo,1,14-May-21,I bought this for my son for a EID gift for our holiday and when he showed me I was shocked I orders a new one and it looks like they have me a used one and also my son had it in the charge all lastnite and 30 minter it shows 1%battery . Am very Disappointed .
Apple AirPods with Charging Case (Wired),4.8,26820,Dashawn Ponder,5,15-May-21,Love it
Apple AirPods with Charging Case (Wired),4.8,26820,terilyn,5,20-May-21,The case was new but the airport weren't. One of the pods didn't work I paid my 150 for nothing. I just did a refund
Apple AirPods with Charging Case (Wired),4.8,26820,Jose,5,9-Apr-21,Perfect for music good battery don’t fall out of ears
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,5,31-May-21,n/a
Apple AirPods with Charging Case (Wired),4.8,26820,Lesly Castaño,5,12-Apr-21,Es genial puedo hacer mi trabajo y hablar sin ningún problema
Apple AirPods with Charging Case (Wired),4.8,26820,Stenisha Bowen,5,21-Apr-21,But them! It is worth every penny. They ship out within 2-4 days.
Apple AirPods with Charging Case (Wired),4.8,26820,Anike,5,10-Apr-21,Sound quality is excellent. The previous reviews were very helpful.
Apple AirPods with Charging Case (Wired),4.8,26820,Carleigh McHugh,5,21-May-21,The airpods have a nice range but it could be better. Make sure u keep track of them they are easy to lose and also they have a really nice battery span
Apple AirPods with Charging Case (Wired),4.8,26820,Justin,1,2-Jun-21,Received Chinese knock off instead of apple product.
Apple AirPods with Charging Case (Wired),4.8,26820,Jeannette Bloom,5,24-Apr-21,The noise reduction is okay but not great.
Apple AirPods with Charging Case (Wired),4.8,26820,Everly,5,19-Apr-21,They work perfectly but my phone has a hard time staying connected with them
Apple AirPods with Charging Case (Wired),4.8,26820,Janette,5,25-Apr-21,Love the sound
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,5,3-May-21,Love my AirPods
Apple AirPods with Charging Case (Wired),4.8,26820,Mofassrul,5,10-Apr-21,sound quality
Apple AirPods with Charging Case (Wired),4.8,26820,Kimberly aliago,5,17-Apr-21,I love the sound when talking and listening to music.
Apple AirPods with Charging Case (Wired),4.8,26820,Miracle,5,16-May-21,its good product works well audio is good haven’t had problems so far but not noise canceling
Apple AirPods with Charging Case (Wired),4.8,26820,Diallo,1,20-Apr-21,"Only one piece is working (the right one), the left side is not working"
Apple AirPods with Charging Case (Wired),4.8,26820,Liz,3,27-May-21,I had this item for2 months and the left AirPod stopped working.
Apple AirPods with Charging Case (Wired),4.8,26820,Tyler,4,24-May-21,"Very long battery life, fit perfect!"
Apple AirPods with Charging Case (Wired),4.8,26820,Byazid Redoy,5,10-Apr-21,"Damnn, it’s really fast & works a lot better"
Apple AirPods with Charging Case (Wired),4.8,26820,Jenn,5,2-May-21,Great deal and price
Apple AirPods with Charging Case (Wired),4.8,26820,Arihant Jain,5,17-May-21,Amazing thing for my Mac book pro for taking calls
Apple AirPods with Charging Case (Wired),4.8,26820,Mariuxi Valencia,5,28-Apr-21,Excelente producto
Apple AirPods with Charging Case (Wired),4.8,26820,Mayra P.,1,4-May-21,They stopped working after 2 months
Apple AirPods with Charging Case (Wired),4.8,26820,Eleni Smedley,5,31-May-21,Love these! I don’t have to charge often because they hold a charge for so long. I am going to get another pair for my daughter.
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,5,24-May-21,Sound quality is good and battery life last long. Product in good condition when i received it.
Apple AirPods with Charging Case (Wired),4.8,26820,Andres,5,14-Apr-21,Been using it for more than 6 months and still no damages or failures when it comes to sound. Really good purchase and these are legit and original.
Apple AirPods with Charging Case (Wired),4.8,26820,Myk Wall,5,5-May-21,Excellent sound. Easy to use. Love em!
Apple AirPods with Charging Case (Wired),4.8,26820,Larissa Smith,5,15-May-21,"Pretty sure these are a fake knockoff or just super defective. Bought them for my daughter for Christmas, she just heard me tell my husband I was going to order myself a pair & she told me I could have hers since she never sides them since they “too hard to use”. I asked her what she meant & she told me that they are difficult to pair to her phone & IF she can get them paired they always disconnect shortly after. And she’ll charge them for a few hours & when she goes to use them the battery is dead. Pretty bummed that we wasted almost $200 & it’s past the return window now."
Apple AirPods with Charging Case (Wired),4.8,26820,Richard Krug,5,4-May-21,The quality of the Air Pods. I never realized why the Genuine Apple Air Pods were worth the cost. I can never go back to cheap imitations.
Apple AirPods with Charging Case (Wired),4.8,26820,Mansur,5,11-May-21,Good quality
Apple AirPods with Charging Case (Wired),4.8,26820,Elizabeth,5,17-May-21,Everything is amazing !
Apple AirPods with Charging Case (Wired),4.8,26820,GR,1,29-May-21,"These are NOT real apple airpods. Connection is terrible I can’t even finish one song without these disconnecting from my phone. Don’t waste your money, these are garbage. Sound quality is also terrible during the 10 seconds that they do work."
Apple AirPods with Charging Case (Wired),4.8,26820,Leopoldo Guerrero,5,22-May-21,Apple by apple
Apple AirPods with Charging Case (Wired),4.8,26820,Ben,5,18-Apr-21,As said in description
Apple AirPods with Charging Case (Wired),4.8,26820,Kindle Customer,1,7-May-21,"Came in with a sticker saying thanks to me for giving it a second life from Amazon. It was Amazon renewed and fulfilled too.... I opened it to find the case to be dirty and would not fit properly in the spot it sets in the box. I opened the case and what do I find?? Dirt, used ear buds and EAR CHEESE!!!! Upon further inspection there was no serial numbers on it and compared it to actual Apple Airpods and these are not genuine. These were a bday gift for my daughter. What a mess. Very dissatisfied. Total SCAM."
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,5,8-Apr-21,I love them
Apple AirPods with Charging Case (Wired),4.8,26820,Jinxy,5,1-May-21,Battery is awesome! Upgraded from first gen.
Apple AirPods with Charging Case (Wired),4.8,26820,sheesh,5,11-May-21,i got scared cause i read all the reviews after i bought them and everyone was saying they came in all dirty and were already used but mine came in really fast and they were perfect and NOT dirty so 10/10 recommend!
Apple AirPods with Charging Case (Wired),4.8,26820,Melissa,2,23-May-21,It’s a Chinese knockoff of AirPods. They die within an hour. Y’all are wrong for this. They are not real. TRASH! How is this legal?
Apple AirPods with Charging Case (Wired),4.8,26820,bookbuy,5,20-Apr-21,Perfect for a great price. Wish they were wireless but can’t really expect it for the price.
Apple AirPods with Charging Case (Wired),4.8,26820,Keren Chen,5,4-May-21,"I really like this Air Pods, this price was cheaper than usual, and the quality is very trustworthy. Great value, great product!"
Apple AirPods with Charging Case (Wired),4.8,26820,Andrzej,5,31-May-21,Non
Apple AirPods with Charging Case (Wired),4.8,26820,Tra’Lia Winters,5,2-Jun-21,I Love them!
Apple AirPods with Charging Case (Wired),4.8,26820,sandra lopez,5,8-Apr-21,I love this!! Great !!! Very satisfied! I recommend it!
Apple AirPods with Charging Case (Wired),4.8,26820,Johnnie Barry,5,23-Apr-21,Excellent quality and great battery/charge. Good price for Apple product on Amazon.
Apple AirPods with Charging Case (Wired),4.8,26820,Shannon223,5,12-May-21,"This is exactly what I needed for my daughter, works amazing!"
Apple AirPods with Charging Case (Wired),4.8,26820,Angel,4,13-May-21,"Left ear went out, won’t charge left ear"
Apple AirPods with Charging Case (Wired),4.8,26820,Jessica,5,20-May-21,Works great
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,5,22-May-21,Perfect for work and long walks
Apple AirPods with Charging Case (Wired),4.8,26820,TYSON WILLIAMS,1,26-May-21,"All was going fairly well until two weeks out of the “return window” when the left and right AirPod began taking runs not working. Before that I tolerated the random disconnection from the Bluetooth, despite my phone being well within range. Absolutely would not recommend or buy again."
Apple AirPods with Charging Case (Wired),4.8,26820,Jamiyah Lemon,3,30-Apr-21,"The item was delivered, but just to the wrong house. Overall, it’s worth buying!"
Apple AirPods with Charging Case (Wired),4.8,26820,Disgusting,1,28-May-21,I received used and dirty AirPods! Yuck! I am returning them!
Apple AirPods with Charging Case (Wired),4.8,26820,Steve,2,18-Apr-21,I was thinking I bought new ones but these were pre owned!! I was going to connect them to my phone and they came up as “johns airpods”.
Apple AirPods with Charging Case (Wired),4.8,26820,Teacher K,5,27-May-21,"Very happy that I finally broke down and purchased these AirPods. Wow! They are so much better than my two previous generic wireless earbuds. I do think the battery life could be longer as I listen to songs/books on tape while hiking, but they easily last 4 hours+ Vendor packaged them nicely and they arrived quickly"
Apple AirPods with Charging Case (Wired),4.8,26820,Elvin,5,10-Apr-21,Good
Apple AirPods with Charging Case (Wired),4.8,26820,Tez Hodges,5,24-May-21,Thx..
Apple AirPods with Charging Case (Wired),4.8,26820,K.Ralph,3,29-May-21,In about 6 months the left ear bud only produces about 50% of the volume it could produce. I took it to apple and they couldn't fix it and replacing just the one earpod was $70+. Wouldn't recommend with out the overpriced apple care.
Apple AirPods with Charging Case (Wired),4.8,26820,Jodiann Braham,5,24-May-21,I love my AirPods
Apple AirPods with Charging Case (Wired),4.8,26820,Joshlyn,1,27-May-21,One of the ear buds wasn’t even working waste of money
Apple AirPods with Charging Case (Wired),4.8,26820,Gina Moore,5,29-Apr-21,Can you hear me now?? Lol It's perfect...
Apple AirPods with Charging Case (Wired),4.8,26820,Micah Malan,5,26-Apr-21,Great quality AWESOME sound quality!
Apple AirPods with Charging Case (Wired),4.8,26820,U101,5,20-May-21,happy and satisfied... not a noise cancellation type but it works at least.
Apple AirPods with Charging Case (Wired),4.8,26820,Joan,5,27-Apr-21,Love them!
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,4,25-Apr-21,Listen to books & receive phone calls on them.
Apple AirPods with Charging Case (Wired),4.8,26820,Bluechip,1,20-May-21,Warning: DO NOT BUY THIS FOR MAC Conference calls! The Bluetooth mic only works at 8khz which is worse than a 1980s telephone! Returning this.
Apple AirPods with Charging Case (Wired),4.8,26820,Veronica Esmeralda lopez montes,5,22-Apr-21,Muy bien estos audifonos
Apple AirPods with Charging Case (Wired),4.8,26820,Michael Dennery Jr,1,28-Apr-21,"The headphones have been randomly turning up the volume to full blast or occasionally interjecting whatever I'm listening to with an intermittent loud noise. It's only been a few months, and unfortunately I think they're defective."
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,4,10-Apr-21,I don't like how the battery gets used up a lot and it takes a while to charge.
Apple AirPods with Charging Case (Wired),4.8,26820,Candice Marie,5,15-Apr-21,They work amazing
Apple AirPods with Charging Case (Wired),4.8,26820,Elmo san diego,5,14-May-21,These do hurt your ears after a short time of wearing. Sound quality is excellent.
Apple AirPods with Charging Case (Wired),4.8,26820,Cinthia,3,12-Apr-21,Music or calls cut off a lot and at times it’s super staticky. They’re nice but it’s frustrating not being able to hear and or the calls drop...
Apple AirPods with Charging Case (Wired),4.8,26820,Amazon Customer,4,26-May-21,Love ear buds for their comfort and durability ..but charge doesn’t last long
Apple AirPods with Charging Case (Wired),4.8,26820,ruben vera,4,9-Apr-21,The battery life is to much short
Apple AirPods with Charging Case (Wired),4.8,26820,Agapita,5,11-Apr-21,There was nothing to dislike about the AirPods they are really great quality came in very well packaged easy to pair!!
Apple AirPods with Charging Case (Wired),4.8,26820,Leo Ferrera,5,13-Apr-21,Great product and great seller
Apple AirPods with Charging Case (Wired),4.8,26820,Vianey,5,9-Apr-21,"Quality is great and , battery life is too. I bought them for my boyfriend. He loved them"
Apple AirPods with Charging Case (Wired),4.8,26820,mila,5,20-Apr-21,Yes!!! Thats all i cam say.. yes!!
Apple AirPods with Charging Case (Wired),4.8,26820,Donald trump the brutally honest guy,3,21-May-21,"Ok so 1st pair I’ve ever bought and honestly I wasn’t impressed at all. Not saying they’re bad they’re just not great. Overhyped. Point is you probably won’t be too pleased with this product if you’re enthusiastic about buying these. Apple 🍎 is all about branding and marketing to sell their products at a high price when the products themselves aren’t that great and don’t bring much value for the money. Honestly from a neutral standpoint Samsung had way better quality products, apple is still behind Wether you like it or not. God day."
Apple AirPods with Charging Case (Wired),4.8,26820,chiquicheco,5,13-May-21,"Excelente, me encanto !!!"
Apple AirPods with Charging Case (Wired),4.8,26820,Joseph,5,24-Apr-21,Really good earbuds
Apple AirPods with Charging Case (Wired),4.8,26820,Matilde Rodriguez,5,25-May-21,I love it. Excellent for online work .
Apple AirPods with Charging Case (Wired),4.8,26820,kadrian ross,5,27-Apr-21,These AirPods are the purchase I’ve ever made!!! The sound quality is absolutely amazing and the battery life is perfect.!! Thank you Apple
Apple AirPods with Charging Case (Wired),4.8,26820,luljetaisha,5,29-May-21,😊😊😊😊
Apple AirPods with Charging Case (Wired),4.8,26820,Tammy,4,20-Apr-21,The user had impaired hearing and not satisfied with the volume while connecting to a TV
Apple AirPods with Charging Case (Wired),4.8,26820,J,1,28-Apr-21,I ordered these and they came a week late and on top of all that the white box didn’t have plastic on it and when I opened the airpods case it was used their was earwax and scratches I’m going to order the pros hopefully they are a different turn out
Apple AirPods with Charging Case (Wired),4.8,26820,Kim,5,14-May-21,"The fit is good, sound quality is excellent, charging is a cinch, Bluetooth connection is smooth. All good!"
Apple AirPods with Charging Case (Wired),4.8,26820,Carlos,5,30-May-21,THE BEST BUT IT
Apple AirPods with Charging Case (Wired),4.8,26820,Sarah,5,11-May-21,Love them I’ve had them for about a month and they have been working fine no problems
Apple AirPods with Charging Case (Wired),4.8,26820,Chad D Rogers,5,21-May-21,So happy I made the switch to wireless and they even sound better and never had an issue with the battery life
Apple AirPods with Charging Case (Wired),4.8,26820,Ebby,5,1-May-21,I will recommend getting these
Apple AirPods with Charging Case (Wired),4.8,26820,Jeff Schiffner,5,19-Apr-21,"I needed a new set of Air Pods and not surprisingly, these came quickly and are terrific. The functionality is great and battery life is awesome!"
